user_id,age,gender,education_level,listening_hours,preferred_genres,favorite_artist,discovery_channel,country
1,57,Other,Bachelor's,20.108201645079788,Electronic,Calvin Harris,Concert,Mexico
2,60,Female,Bachelor's,16.88587803136231,Electronic,Zedd,Search,Canada
3,66,Male,Some college,17.487272357204755,Hip-hop,Kendrick Lamar,Friend,Germany
4,13,Male,Some college,16.192136878210874,Rock,Green Day,Social Media,France
5,16,Other,Bachelor's,25.46832827820042,Pop,Selena Gomez,Playlist,Mexico
6,16,Female,PhD,27.01357684940326,Classical,Johannes Brahms,Friend,France
7,52,Female,High school,12.6017752283207,Rock,Nirvana,Friend,Australia
8,22,Male,Bachelor's,22.969890670409107,Electronic,David Guetta,Social Media,Australia
9,32,Female,PhD,17.690255549213703,Jazz,Miles Davis,Radio,Japan
10,34,Male,Bachelor's,20.983432600326555,Pop,Lauv,Concert,Brazil
11,63,Other,Some college,11.604173969120172,Pop,Rita Ora,Playlist,Germany
12,49,Male,High school,17.780454109426074,Pop,Selena Gomez,Social Media,Japan
13,36,Other,Bachelor's,17.403855254113328,Pop,Ariana Grande,Concert,Mexico
14,19,Other,High school,29.36959708874901,Rock,Foo Fighters,Concert,France
15,37,Other,Some college,24.961042884654674,Pop,Ed Sheeran,Radio,Japan
16,37,Other,Bachelor's,25.90390612925671,Electronic,Martin Garrix,Playlist,France
17,25,Other,Some college,22.13539448190406,Rock,Coldplay,Search,Japan
18,14,Female,Some college,13.413765913886888,Pop,Maroon 5,Search,Mexico
19,51,Other,Bachelor's,9.399342581263518,Electronic,Calvin Harris,Friend,France
20,52,Other,PhD,11.980591831263457,Indie,Tame Impala,Search,USA
21,36,Female,PhD,19.0339275733054,Jazz,John Coltrane,Concert,USA
22,59,Other,High school,15.898849602261876,Rock,Linkin Park,Playlist,Germany
23,37,Male,Some college,24.463913347291005,Rock,AC/DC,Search,Japan
24,30,Male,PhD,17.41367106008655,Jazz,Herbie Hancock,Concert,France
25,50,Male,Some college,18.27033787911687,Pop,Taylor Swift,Concert,Canada
26,38,Female,Some college,18.518090479349194,Pop,Maroon 5,Playlist,Brazil
27,26,Male,Master's,25.06954576881634,Electronic,Tiësto,Search,UK
28,21,Male,High school,22.715942678552747,Rock,Linkin Park,Search,Germany
29,22,Female,Bachelor's,25.94392379316272,Pop,Selena Gomez,Search,USA
30,33,Other,Some college,13.1983990828029,Rock,Imagine Dragons,Social Media,Australia
31,64,Female,Some college,8.889805977629027,Rock,Foo Fighters,Playlist,Brazil
32,29,Female,High school,28.126091763028178,Rock,Foo Fighters,Radio,France
33,64,Female,Some college,14.100542280449247,Pop,Rita Ora,Search,UK
34,18,Female,Some college,25.51500438101456,Rock,Coldplay,Social Media,France
35,28,Male,Bachelor's,21.781507550184408,Pop,Britney Spears,Friend,Brazil
36,60,Female,High school,19.51602285341108,Rock,Queen,Search,Canada
37,13,Male,High school,11.504544863471674,Pop,Selena Gomez,Playlist,Germany
38,31,Other,PhD,23.36891717035815,Indie,Tame Impala,Search,USA
39,48,Male,High school,15.81636410108422,Rock,Foo Fighters,Friend,France
40,37,Female,Some college,20.50934509914989,Pop,Taylor Swift,Concert,Brazil
41,62,Female,Some college,15.191486141417055,Rock,Green Day,Search,Brazil
42,64,Other,Some college,16.256750374037082,Pop,Olivia Rodrigo,Social Media,UK
43,42,Other,Some college,20.843233057024484,Pop,Taylor Swift,Friend,Japan
44,32,Female,Bachelor's,22.53291714548589,Pop,Lauv,Playlist,Germany
45,32,Male,Master's,25.32226507564124,Electronic,Calvin Harris,Search,Australia
46,27,Female,Some college,23.456373664222596,Hip-hop,Post Malone,Concert,India
47,52,Other,High school,21.35779966834007,Pop,Lauv,Friend,UK
48,45,Female,High school,15.177054799497547,Rock,Queen,Playlist,Germany
49,14,Male,High school,17.127134662289738,Rock,Imagine Dragons,Playlist,USA
50,22,Other,PhD,14.054644152402123,Classical,Tchaikovsky,Concert,Australia
51,45,Male,High school,20.357071557070213,Rock,Imagine Dragons,Search,USA
52,44,Female,Some college,12.4414288354364,Rock,Coldplay,Social Media,France
53,23,Other,Master's,26.92185424359281,Jazz,Louis Armstrong,Search,Germany
54,65,Female,High school,16.268115885741906,Rock,Linkin Park,Social Media,India
55,36,Other,Some college,13.57960469285111,Pop,Adele,Search,Mexico
56,48,Other,High school,23.132020946215157,Electronic,Calvin Harris,Search,Brazil
57,24,Other,Some college,30.91665613240398,Rock,Imagine Dragons,Radio,USA
58,63,Male,High school,12.092151323278518,Rock,Linkin Park,Playlist,Germany
59,68,Other,Some college,13.977226791779051,Pop,Adele,Search,Mexico
60,41,Male,Master's,24.21026907438052,Classical,Ludwig van Beethoven,Search,Canada
61,47,Other,Some college,21.955521846842238,Rock,AC/DC,Playlist,Australia
62,13,Other,PhD,12.146612196304467,Classical,Pyotr Ilyich Tchaikovsky,Radio,Canada
63,13,Female,Bachelor's,16.717905719821037,Pop,Ed Sheeran,Search,Japan
64,49,Male,High school,20.81435989189825,Rock,Coldplay,Concert,Australia
65,66,Female,Some college,16.975616421995024,Pop,Billie Eilish,Friend,India
66,18,Male,High school,21.80023428906221,Pop,Ed Sheeran,Concert,Australia
67,51,Female,Some college,12.355687008874344,Pop,Billie Eilish,Social Media,Brazil
68,53,Male,High school,14.993191019001532,Rock,AC/DC,Playlist,UK
69,65,Other,Bachelor's,18.697083731229213,Pop,Britney Spears,Concert,Australia
70,30,Male,Some college,22.25052145517429,Pop,Dua Lipa,Friend,UK
71,28,Male,Master's,15.552831519578938,Electronic,Calvin Harris,Friend,Mexico
72,17,Other,Some college,30.19031808480217,Rock,Queen,Concert,Brazil
73,54,Female,High school,15.987718724308646,Jazz,John Coltrane,Search,USA
74,55,Male,High school,15.92250915322137,Rock,Green Day,Friend,Japan
75,44,Male,Some college,20.5846343619298,Pop,Justin Bieber,Friend,Canada
76,69,Female,High school,16.562746493721384,Rock,Coldplay,Radio,USA
77,14,Male,High school,15.08918862951388,Rock,Foo Fighters,Playlist,Brazil
78,14,Male,Some college,14.61378854367424,Rock,Green Day,Playlist,Brazil
