track_id,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
7dTxqsaFGHOXwtzHINjfHv,Nico Collins,,0.476,0.799,4,-4.939,0,0.212,0.0162,0,0.257,0.577,162.139,191948,191772
14Qcrx6Dfjvcj0H8oV8oUW,London Symphony Orchestra,british orchestra,0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,112.241,150827,1806234
7K9Z3yFNNLv5kwTjQYGjnu,SyKo,glitchcore,0.691,0.814,1,-3.788,0,0.117,0.0164,0,0.366,0.509,132.012,145611,145610
3koAwrM1RO0TGMeQJ3qt9J,Good Morning,experimental pop,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,89509,25058
4ByEFOBuLXpCqvO1kw8Wdm,Cutting Crew,album rock,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400,5504949
22lJaG2yxlSjIwdUIddcFk,salem ilese,alt z,0.645,0.611,8,-5.925,0,0.137,0.29,2.05E-05,0.237,0.645,157.475,144468,2237969
4DS2UXeR2V5W7R9aype6t1,Eren Cannata,guitar case,0.663,0.904,7,-4.71,1,0.0857,0.000708,0.289,0.341,0.675,118.024,217627,441335
,NF,,,,,,,,,,,,,,70589
30QR0ndUdiiMQMA9g1PGCm,$uicideboy$,cloud rap,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04E-05,0.14,0.111,113.983,168490,120005
3MjUtNVVq3C8Fn0MP3zhXa,Britney Spears,dance pop,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067,107407
7cVe3mYMIfhOlz1NXFWv70,Sidhu Moose Wala,desi hip hop,0.742,0.675,8,-6.551,1,0.0907,0.139,0,0.167,0.679,145.989,108493,21354
3mZxGT3FA0vICzX4owzYGq,colours in the dark,lo-fi sleep,0.62,0.122,2,-19.47,0,0.0428,0.967,0.963,0.0726,0.0502,72.019,129160,516640
2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,contemporary country,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,339561
3YhAZVvU1yeGo1l6aLK0V6,mj apanay,bedroom r&b,0.611,0.256,8,-11.29,1,0.0733,0.899,0.00497,0.125,0.585,123.535,58018,58017
4SCCczAQXPOkM26I2gWhjt,Chris James,singer-songwriter pop,0.83,0.414,3,-7.387,1,0.148,0.497,0,0.187,0.797,87.99,133125,2531305
1kdEXzn5xAyzTAzimbjhT4,OQTAN,,0.806,0.945,8,-1.382,1,0.0486,0.0243,0.837,0.267,0.341,119.992,115125,115125
4edtsBlaX23OPYmhA4R0GP,Etham,singer-songwriter pop,0.459,0.214,5,-10.66,1,0.0403,0.634,0,0.125,0.397,163.816,179013,795611
6KVFBsfbnaFFa43i4k0cce,Zach Hood,alt z,0.639,0.724,7,-6.346,1,0.0664,0.452,0,0.159,0.522,129.712,209538,3248068
5nx28cE13vK0gko3qjPkQK,Josh Golden,la pop,0.652,0.713,6,-8.331,0,0.105,0.413,0.0048,0.265,0.692,156.031,187885,3799565
2Nbhq0jI4SR7whs7YNZEuJ,Shiloh Dynasty,lo-fi chill,0.78,0.24,11,-12.996,1,0.0711,0.373,0.0141,0.452,0.171,140.502,209493,280765
1No2CqopteR18XVL4RJHNO,Jeremy Zucker,alt z,0.783,0.599,4,-5.688,1,0.0441,0.0445,0,0.108,0.611,113.97,150773,150773
6TsRPIdwASJBXanGhftVjc,Thomas Newman,orchestral soundtrack,0.0814,0.0155,7,-33.085,0,0.044,0.945,0.915,0.0923,0.0899,171.075,77413,77341
1BqhfAEw4jigpJl0O23jnS,glaive,glitchcore,0.665,0.746,9,-2.98,1,0.044,0.0125,0,0.148,0.426,134.999,150222,458813
0yNiaePZow0ycdrmLV0J7y,Bo Burnham,comic,0.646,0.724,4,-7.466,0,0.0475,0.0432,0,0.333,0.894,155.85,146654,96200
537debqnr9NGTDEgnftd8y,Bruises,,0.579,0.851,5,-7.261,1,0.0278,0.00173,0.0533,0.219,0.372,120.01,188000,20907439
6bz9irEuD1Ius2hcHIKRZh,Linkin Park,alternative metal,0.471,0.927,1,-5.76,1,0.0495,0.00272,0.537,0.115,0.232,96.149,346040,345993
5j8xLQBvlVvTfLUDwyQX5S,Marco Luka,,0.661,0.528,5,-9.347,0,0.0354,0.176,0.000107,0.092,0.137,150.004,172800,172603
1LWYInY2Cl77jqgF4U1CJd,glaive,glitchcore,0.473,0.849,5,-2.434,0,0.052,0.26,0,0.103,0.61,79.538,110339,109827
4DERbz1e89YD9VZt7or9GB,Bazanji,deep underground hip hop,0.596,0.881,11,-5.228,0,0.119,0.153,0,0.16,0.302,147.038,112245,23359
49WWSaa9yKrvsj8PhsIWmc,Lauv,pop,0.849,0.489,0,-7.433,1,0.0509,0.683,1.91E-05,0.108,0.345,113.977,195952,195952
4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,brooklyn drill,0.829,0.512,6,-5.865,0,0.187,0.492,0,0.12,0.638,80.511,123987,87571
691DKk2mvknCGvaQD4OTyD,Comfort Club,,0.67,0.418,5,-7.74,1,0.0272,0.13,0,0.353,0.413,101.936,175033,19957
2SvULYdmPes23yZQYeLkXV,Johannes Brahms,classical,0.32,0.127,7,-15.953,0,0.0366,0.929,0.813,0.25,0.272,144.451,135773,271587
6yhioaNcLd5qwei5S0HQsu,Seattle Symphony Orchestra,american orchestra,0.227,0.0666,7,-21.772,0,0.0403,0.831,0.392,0.083,0.256,82.568,173853,173732
2oLjhx7w8Hyd3gry9cCXr7,Johannes Brahms,classical,0.358,0.167,7,-16,0,0.0354,0.899,0.96,0.103,0.601,144.561,138707,1851813
3yII7UwgLF6K5zW3xad3MP,Taylor Swift,pop,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02E-05,0.0753,0.642,103.984,230960,595000
5nsMKSAJwcr1pA9I6PW429,sundial,,0.839,0.525,2,-4.873,1,0.131,0.0303,0,0.302,0.831,135.996,133897,133897
1ZGxwxXbpeydURjPS9mrmL,Alexander Stewart,singer-songwriter pop,0.512,0.748,10,-7.338,1,0.0376,0.0908,0,0.204,0.338,143.999,198333,1819808
4Cdb1dE3pfiWlqnAIcImyQ,The Neighbourhood,modern alternative rock,0.587,0.744,7,-4.611,0,0.0742,0.00213,0.00181,0.114,0.236,118.962,219973,219799
