user_id,age,gender,education_level,listening_hours,preferred_genres,favorite_artist,discovery_channel,country
1,57,Other,Bachelor's,26.9,Pop,Taylor Swift,Concert,Mexico
2,60,Female,Master's,6.4,Jazz,Miles Davis,Search,Canada
3,66,Male,Bachelor's,28.3,Electronic,Kygo,Friend,Germany
4,13,Male,PhD,15.4,Pop,Olivia Rodrigo,Social Media,France
5,16,Other,PhD,8.8,Electronic,David Guetta,Playlist,Mexico
6,16,Female,PhD,9.7,Pop,Selena Gomez,Friend,France
7,52,Female,High school,23.6,Electronic,Marshmello,Friend,Australia
8,22,Male,High school,11.7,Rock,Foo Fighters,Social Media,Australia
9,32,Female,Master's,26.1,Classical,Tchaikovsky,Radio,Japan
10,34,Male,Some college,28.1,Jazz,Nina Simone,Concert,Brazil
11,63,Other,Some college,12.1,Classical,Wolfgang Amadeus Mozart,Playlist,Germany
12,49,Male,PhD,11.4,Electronic,Martin Garrix,Social Media,Japan
13,36,Other,High school,28.9,Hip-hop,NF,Concert,Mexico
14,19,Other,Some college,20.0,Pop,Dua Lipa,Concert,France
15,37,Other,Bachelor's,25.2,Rock,Coldplay,Radio,Japan
16,37,Other,PhD,8.9,Jazz,Herbie Hancock,Playlist,France
17,25,Other,Some college,38.5,Rock,Green Day,Search,Japan
18,14,Female,High school,35.1,Pop,Justin Bieber,Search,Mexico
19,51,Other,Bachelor's,34.7,Jazz,Herbie Hancock,Friend,France
20,52,Other,Bachelor's,16.3,Electronic,Zedd,Search,USA
21,36,Female,PhD,29.1,Indie,Foster The People,Concert,USA
22,59,Other,High school,14.1,Hip-hop,Eminem,Playlist,Germany
23,37,Male,High school,5.9,Indie,The Neighbourhood,Search,Japan
24,30,Male,PhD,7.2,Electronic,Deadmau5,Concert,France
25,50,Male,Some college,26.2,Electronic,Kygo,Concert,Canada
26,38,Female,Master's,7.5,Jazz,Herbie Hancock,Playlist,Brazil
27,26,Male,High school,22.4,Rock,Queen,Search,UK
28,21,Male,Some college,6.9,Rock,Queen,Search,Germany
29,22,Female,High school,34.7,Hip-hop,$uicideboy$,Search,USA
30,33,Other,PhD,19.0,Jazz,Louis Armstrong,Social Media,Australia
31,64,Female,PhD,39.3,Rock,Imagine Dragons,Playlist,Brazil
32,29,Female,High school,16.2,Jazz,Louis Armstrong,Radio,France
33,64,Female,High school,21.8,Rock,Imagine Dragons,Search,UK
34,18,Female,High school,18.9,Classical,Wolfgang Amadeus Mozart,Social Media,France
35,28,Male,Bachelor's,37.1,Pop,Justin Bieber,Friend,Brazil
36,60,Female,Some college,31.7,Indie,Vampire Weekend,Search,Canada
37,13,Male,Bachelor's,17.8,Indie,Florence + The Machine,Playlist,Germany
38,31,Other,Bachelor's,39.5,Jazz,John Coltrane,Search,USA
39,48,Male,High school,21.4,Hip-hop,Eminem,Friend,France
40,37,Female,Master's,17.1,Hip-hop,Kendrick Lamar,Concert,Brazil
41,62,Female,Some college,22.9,Hip-hop,Lil Nas X,Search,Brazil
42,64,Other,Master's,16.3,Pop,Selena Gomez,Social Media,UK
43,42,Other,Some college,21.2,Jazz,Louis Armstrong,Friend,Japan
44,32,Female,PhD,15.1,Electronic,Marshmello,Playlist,Germany
45,32,Male,Bachelor's,38.0,Hip-hop,$uicideboy$,Search,Australia
46,27,Female,Some college,25.6,Hip-hop,Post Malone,Concert,India
47,52,Other,Bachelor's,31.1,Classical,Richard Strauss,Friend,UK
48,45,Female,High school,26.1,Rock,Linkin Park,Playlist,Germany
49,14,Male,High school,16.6,Pop,Olivia Rodrigo,Playlist,USA
50,22,Other,Some college,9.0,Jazz,Miles Davis,Concert,Australia
51,45,Male,PhD,12.6,Indie,Arctic Monkeys,Search,USA
52,44,Female,Master's,10.9,Indie,Tame Impala,Social Media,France
53,23,Other,High school,16.1,Indie,Arctic Monkeys,Search,Germany
54,65,Female,High school,31.2,Rock,Queen,Social Media,India
55,36,Other,Master's,9.5,Indie,Foster The People,Search,Mexico
56,48,Other,High school,26.6,Indie,Arctic Monkeys,Search,Brazil
57,24,Other,Bachelor's,30.3,Jazz,Miles Davis,Radio,USA
58,63,Male,High school,23.1,Hip-hop,Lil Nas X,Playlist,Germany
59,68,Other,Master's,5.3,Hip-hop,Lil Nas X,Search,Mexico
60,41,Male,Master's,18.9,Indie,Arctic Monkeys,Search,Canada
61,47,Other,High school,10.0,Jazz,Herbie Hancock,Playlist,Australia
62,13,Other,Some college,16.2,Electronic,David Guetta,Radio,Canada
63,13,Female,PhD,28.5,Electronic,Martin Garrix,Search,Japan
64,49,Male,Bachelor's,9.0,Electronic,Kygo,Concert,Australia
65,66,Female,Master's,29.6,Indie,The 1975,Friend,India
66,18,Male,Bachelor's,8.3,Electronic,Marshmello,Concert,Australia
